FID,state,rate,year
prodes_rates_d.1,BA,2304,2001
prodes_rates_d.2,BA,2304,2002
prodes_rates_d.3,BA,2739,2003
prodes_rates_d.4,BA,2739,2004
prodes_rates_d.5,BA,1812,2005
prodes_rates_d.6,BA,1812,2006
prodes_rates_d.7,BA,2037,2007
prodes_rates_d.8,BA,2037,2008
prodes_rates_d.9,BA,1219,2009
prodes_rates_d.10,BA,1219,2010
prodes_rates_d.11,BA,1522,2011
prodes_rates_d.12,BA,1522,2012
prodes_rates_d.13,BA,1551,2013
prodes_rates_d.14,BA,1042,2014
prodes_rates_d.15,BA,1171,2015
prodes_rates_d.16,DF,12,2001
prodes_rates_d.17,DF,12,2002
prodes_rates_d.18,DF,82,2003
prodes_rates_d.19,DF,82,2004
prodes_rates_d.20,DF,27,2005
prodes_rates_d.21,DF,27,2006
prodes_rates_d.22,DF,10,2007
prodes_rates_d.23,DF,10,2008
prodes_rates_d.24,DF,12,2009
prodes_rates_d.25,DF,12,2010
prodes_rates_d.26,DF,6,2011
prodes_rates_d.27,DF,6,2012
prodes_rates_d.28,DF,10,2013
prodes_rates_d.29,DF,19,2014
prodes_rates_d.30,DF,4,2015
prodes_rates_d.31,GO,6614,2001
prodes_rates_d.32,GO,6614,2002
prodes_rates_d.33,GO,6219,2003
prodes_rates_d.34,GO,6219,2004
prodes_rates_d.35,GO,2466,2005
prodes_rates_d.36,GO,2466,2006
prodes_rates_d.37,GO,1499,2007
prodes_rates_d.38,GO,1499,2008
prodes_rates_d.39,GO,1451,2009
prodes_rates_d.40,GO,1451,2010
prodes_rates_d.41,GO,957,2011
prodes_rates_d.42,GO,957,2012
prodes_rates_d.43,GO,1437,2013
prodes_rates_d.44,GO,1010,2014
prodes_rates_d.45,GO,1078,2015
prodes_rates_d.46,MA,2931,2001
prodes_rates_d.47,MA,2931,2002
prodes_rates_d.48,MA,3449,2003
prodes_rates_d.49,MA,3449,2004
prodes_rates_d.50,MA,2938,2005
prodes_rates_d.51,MA,2938,2006
prodes_rates_d.52,MA,2918,2007
prodes_rates_d.53,MA,2918,2008
prodes_rates_d.54,MA,1899,2009
prodes_rates_d.55,MA,1899,2010
prodes_rates_d.56,MA,2189,2011
prodes_rates_d.57,MA,2189,2012
prodes_rates_d.58,MA,1882,2013
prodes_rates_d.59,MA,2157,2014
prodes_rates_d.60,MA,2021,2015
prodes_rates_d.61,MT,5658,2001
prodes_rates_d.62,MT,5658,2002
prodes_rates_d.63,MT,7031,2003
prodes_rates_d.64,MT,7031,2004
prodes_rates_d.65,MT,2937,2005
prodes_rates_d.66,MT,2937,2006
prodes_rates_d.67,MT,1649,2007
prodes_rates_d.68,MT,1649,2008
prodes_rates_d.69,MT,1063,2009
prodes_rates_d.70,MT,1063,2010
prodes_rates_d.71,MT,1113,2011
prodes_rates_d.72,MT,1113,2012
prodes_rates_d.73,MT,1711,2013
prodes_rates_d.74,MT,903,2014
prodes_rates_d.75,MT,1711,2015
prodes_rates_d.76,MS,2826,2001
prodes_rates_d.77,MS,2826,2002
prodes_rates_d.78,MS,2368,2003
prodes_rates_d.79,MS,2368,2004
prodes_rates_d.80,MS,2368,2005
prodes_rates_d.81,MS,2368,2006
prodes_rates_d.82,MS,790,2007
prodes_rates_d.83,MS,790,2008
prodes_rates_d.84,MS,517,2009
prodes_rates_d.85,MS,517,2010
prodes_rates_d.86,MS,392,2011
prodes_rates_d.87,MS,392,2012
prodes_rates_d.88,MS,467,2013
prodes_rates_d.89,MS,224,2014
prodes_rates_d.90,MS,589,2015
prodes_rates_d.91,MG,6466,2001
prodes_rates_d.92,MG,6466,2002
prodes_rates_d.93,MG,4777,2003
prodes_rates_d.94,MG,4777,2004
prodes_rates_d.95,MG,2807,2005
prodes_rates_d.96,MG,2807,2006
prodes_rates_d.97,MG,2159,2007
prodes_rates_d.98,MG,2159,2008
prodes_rates_d.99,MG,1359,2009
prodes_rates_d.100,MG,1359,2010
prodes_rates_d.101,MG,1465,2011
prodes_rates_d.102,MG,1465,2012
prodes_rates_d.103,MG,1904,2013
prodes_rates_d.104,MG,1748,2014
prodes_rates_d.105,MG,1034,2015
prodes_rates_d.106,PR,29,2001
prodes_rates_d.107,PR,29,2002
prodes_rates_d.108,PR,16,2003
prodes_rates_d.109,PR,16,2004
prodes_rates_d.110,PR,28,2005
prodes_rates_d.111,PR,28,2006
prodes_rates_d.112,PR,3,2007
prodes_rates_d.113,PR,3,2008
prodes_rates_d.114,PR,21,2009
prodes_rates_d.115,PR,21,2010
prodes_rates_d.116,PR,2,2011
prodes_rates_d.117,PR,2,2012
prodes_rates_d.118,PR,1,2013
prodes_rates_d.119,PR,2,2014
prodes_rates_d.120,PR,3,2015
prodes_rates_d.121,PI,483,2001
prodes_rates_d.122,PI,483,2002
prodes_rates_d.123,PI,1123,2003
prodes_rates_d.124,PI,1123,2004
prodes_rates_d.125,PI,976,2005
prodes_rates_d.126,PI,976,2006
prodes_rates_d.127,PI,640,2007
prodes_rates_d.128,PI,640,2008
prodes_rates_d.129,PI,832,2009
prodes_rates_d.130,PI,832,2010
prodes_rates_d.131,PI,937,2011
prodes_rates_d.132,PI,937,2012
prodes_rates_d.133,PI,1157,2013
prodes_rates_d.134,PI,1026,2014
prodes_rates_d.135,PI,637,2015
prodes_rates_d.136,SP,184,2001
prodes_rates_d.137,SP,184,2002
prodes_rates_d.138,SP,213,2003
prodes_rates_d.139,SP,213,2004
prodes_rates_d.140,SP,219,2005
prodes_rates_d.141,SP,219,2006
prodes_rates_d.142,SP,56,2007
prodes_rates_d.143,SP,56,2008
prodes_rates_d.144,SP,79,2009
prodes_rates_d.145,SP,79,2010
prodes_rates_d.146,SP,24,2011
prodes_rates_d.147,SP,24,2012
prodes_rates_d.148,SP,41,2013
prodes_rates_d.149,SP,46,2014
prodes_rates_d.150,SP,25,2015
prodes_rates_d.151,TO,3142,2001
prodes_rates_d.152,TO,3142,2002
prodes_rates_d.153,TO,3270,2003
prodes_rates_d.154,TO,3270,2004
prodes_rates_d.155,TO,2726,2005
prodes_rates_d.156,TO,2726,2006
prodes_rates_d.157,TO,1789,2007
prodes_rates_d.158,TO,1789,2008
prodes_rates_d.159,TO,1890,2009
prodes_rates_d.160,TO,1890,2010
prodes_rates_d.161,TO,1771,2011
prodes_rates_d.162,TO,1771,2012
prodes_rates_d.163,TO,2766,2013
prodes_rates_d.164,TO,2010,2014
prodes_rates_d.165,TO,2871,2015
prodes_rates_d.166,CERRADO,30649,2001
prodes_rates_d.167,CERRADO,30649,2002
prodes_rates_d.168,CERRADO,31293,2003
prodes_rates_d.169,CERRADO,31293,2004
prodes_rates_d.170,CERRADO,18530,2005
prodes_rates_d.171,CERRADO,18530,2006
prodes_rates_d.172,CERRADO,13551,2007
prodes_rates_d.173,CERRADO,13551,2008
prodes_rates_d.174,CERRADO,10342,2009
prodes_rates_d.175,CERRADO,10342,2010
prodes_rates_d.176,CERRADO,10378,2011
prodes_rates_d.177,CERRADO,10378,2012
prodes_rates_d.178,CERRADO,12928,2013
prodes_rates_d.179,CERRADO,10188,2014
prodes_rates_d.180,CERRADO,11143,2015
