ano,area,area_625,estado
2001,2287.835751 ,2155.206108 ,BA
2002,2287.835751 ,2155.206108 ,BA
2003,2713.117140 ,2540.628486 ,BA
2004,2713.117140 ,2540.628486 ,BA
2005,1806.411581 ,1654.421913 ,BA
2006,1806.411581 ,1654.421913 ,BA
2007,2019.360988 ,1821.771121 ,BA
2008,2019.360988 ,1821.771121 ,BA
2009,1210.783443 ,1088.246670 ,BA
2010,1210.783443 ,1088.246670 ,BA
2011,1518.801514 ,1460.341186 ,BA
2012,1518.801514 ,1460.341186 ,BA
2013,1648.973849 ,1373.085381 ,BA
2014,1071.151778 ,962.003084 ,BA
2015,1343.451749 ,1205.926975 ,BA
2016,781.487377 ,714.194700 ,BA
2017,775.869271 ,721.893044 ,BA
2001,12.270666 ,10.186476 ,DF
2002,12.270666 ,10.186476 ,DF
2003,81.759335 ,74.477392 ,DF
2004,81.759335 ,74.477392 ,DF
2005,27.207320 ,21.445167 ,DF
2006,27.207320 ,21.445167 ,DF
2007,10.062449 ,8.411923 ,DF
2008,10.062449 ,8.411923 ,DF
2009,12.094269 ,10.648904 ,DF
2010,12.094269 ,10.648904 ,DF
2011,5.704782 ,4.211761 ,DF
2012,5.704782 ,4.211761 ,DF
2013,23.962308 ,17.097540 ,DF
2014,20.383538 ,13.222704 ,DF
2015,5.384996 ,3.389387 ,DF
2016,2.529536 ,1.979672 ,DF
2017,5.523551 ,4.334191 ,DF
2001,6611.658055 ,6175.776044 ,GO
2002,6611.658055 ,6175.776044 ,GO
2003,6216.993792 ,5482.282094 ,GO
2004,6216.993792 ,5482.282094 ,GO
2005,2464.613905 ,2139.840223 ,GO
2006,2464.613905 ,2139.840223 ,GO
2007,1497.645889 ,1240.360393 ,GO
2008,1497.645889 ,1240.360393 ,GO
2009,1450.595901 ,1210.910667 ,GO
2010,1450.595901 ,1210.910667 ,GO
2011,956.787580 ,835.973687 ,GO
2012,956.787580 ,835.973687 ,GO
2013,1922.860798 ,1448.767400 ,GO
2014,1185.426043 ,914.389476 ,GO
2015,1239.975046 ,934.525959 ,GO
2016,647.137523 ,546.653051 ,GO
2017,837.922403 ,696.751932 ,GO
2001,2302.344968 ,2027.708973 ,MA
2002,2302.344968 ,2027.708973 ,MA
2003,2405.892789 ,2070.970785 ,MA
2004,2405.892789 ,2070.970785 ,MA
2005,2315.251020 ,2056.534674 ,MA
2006,2315.251020 ,2056.534674 ,MA
2007,3812.827767 ,3467.383055 ,MA
2008,3812.827767 ,3467.383055 ,MA
2009,1755.633254 ,1464.159532 ,MA
2010,1755.633254 ,1464.159532 ,MA
2011,1426.608127 ,1234.459362 ,MA
2012,1426.608127 ,1234.459362 ,MA
2013,1647.863394 ,1361.712238 ,MA
2014,1840.236178 ,1403.566515 ,MA
2015,1749.941635 ,1427.109462 ,MA
2016,1209.348579 ,961.220679 ,MA
2017,1453.951921 ,1115.655718 ,MA
2001,6465.755914 ,6033.401885 ,MG
2002,6465.755914 ,6033.401885 ,MG
2003,4777.279934 ,4257.283020 ,MG
2004,4777.279934 ,4257.283020 ,MG
2005,2806.529467 ,2437.219181 ,MG
2006,2806.529467 ,2437.219181 ,MG
2007,2159.217158 ,1836.918869 ,MG
2008,2159.217158 ,1836.918869 ,MG
2009,1358.455015 ,1153.491273 ,MG
2010,1358.455015 ,1153.491273 ,MG
2011,1464.606781 ,1303.798837 ,MG
2012,1464.606781 ,1303.798837 ,MG
2013,2232.365168 ,1639.542939 ,MG
2014,1966.203906 ,1504.123646 ,MG
2015,1239.586252 ,894.916578 ,MG
2016,329.191437 ,260.429520 ,MG
2017,513.271825 ,377.809511 ,MG
2001,2826.604430 ,2718.746112 ,MS
2002,2826.604430 ,2718.746112 ,MS
2003,2367.455140 ,2193.465026 ,MS
